2016-07-06 16:19:36,141 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: nbBase:nbBase:0.0.1-SNAPSHOT @ /Users/jinx/Documents/jobs/teacher/nbBase/pom.xml.
2016-07-06 16:19:36,342 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for p6spy:p6spy:jar:2.1.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2016-07-06 16:19:39,563 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for p6spy:p6spy:jar:2.1.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2016-07-06 16:19:39,829 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:19:39,829 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 16:19:39,831 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:19:39,831 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 16:25:51,194 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:25:51,195 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 16:25:51,196 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:25:51,197 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 16:26:43,919 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:26:43,919 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 16:26:43,920 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:26:43,921 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 16:29:07,750 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:29:07,751 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 16:29:07,752 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:29:07,752 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 16:29:49,287 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/jinx/Documents/jobs/teacher/nbBase
2016-07-06 16:29:49,287 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2016-07-06 16:29:50,843 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:29:50,843 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/main/resources
2016-07-06 16:29:50,844 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:29:50,845 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jinx/Documents/jobs/teacher/nbBase/src/test/resources
2016-07-06 16:29:50,846 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of nbBase
2016-07-06 16:29:50,847 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for nbBase
2016-07-06 16:29:50,860 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 16:29:57,894 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/jinx/Documents/jobs/teacher/nbBase
